Datetime,PM2.5,PM10,NOx,CO
2017-06-15 12:00:00,,,0.0,0.0
2017-06-16 12:00:00,31.5,120.75,17.71,0.0
2017-06-17 12:00:00,35.0,89.75,9.89,0.0
2017-06-18 12:00:00,35.0,186.0,8.98,0.0
2017-06-19 12:00:00,22.5,151.5,10.16,0.0
2017-06-20 12:00:00,28.0,,26.69,0.0
2017-06-21 12:00:00,68.0,97.25,13.08,0.0
2017-06-22 12:00:00,38.0,131.5,11.04,0.0
2017-06-23 12:00:00,42.0,185.0,13.05,0.0
2017-06-24 12:00:00,44.0,188.25,11.28,0.0
2017-06-25 12:00:00,70.0,315.75,8.85,0.0
2017-06-26 12:00:00,58.0,,7.92,0.0
2017-06-27 12:00:00,39.5,,7.3,0.0
2017-06-28 12:00:00,40.0,87.5,8.03,0.0
2017-06-29 12:00:00,24.5,,6.65,0.0
2017-06-30 12:00:00,16.0,68.75,9.93,0.0
2017-07-01 12:00:00,58.0,224.0,3.94,0.0
2017-07-02 12:00:00,11.0,203.5,5.2,0.0
2017-07-03 12:00:00,56.0,207.25,4.78,0.0
2017-07-04 12:00:00,43.0,,4.27,0.0
2017-07-05 12:00:00,63.0,,5.2,0.0
2017-07-06 12:00:00,43.5,,4.39,0.0
2017-07-07 12:00:00,67.5,,8.51,0.0
2017-07-08 12:00:00,57.0,,3.13,0.0
2017-07-09 12:00:00,39.5,,2.77,0.0
2017-07-10 12:00:00,29.5,,4.16,0.0
2017-07-11 12:00:00,48.5,,5.1,0.0
2017-07-12 12:00:00,12.0,,7.97,0.0
2017-07-13 12:00:00,17.0,,6.09,0.0
2017-07-14 12:00:00,34.0,,7.02,0.0
2017-07-15 12:00:00,24.5,,9.25,0.0
2017-07-16 12:00:00,45.5,,7.79,0.0
2017-07-17 12:00:00,44.0,,9.61,0.0
2017-07-18 12:00:00,42.5,,14.95,0.0
2017-07-19 12:00:00,58.5,,20.97,0.0
2017-07-20 12:00:00,16.5,,8.61,0.0
2017-07-21 12:00:00,22.0,,4.05,0.0
2017-07-22 12:00:00,26.5,,4.25,0.0
2017-07-23 12:00:00,28.5,,3.32,0.0
2017-07-24 12:00:00,14.0,,5.16,0.0
2017-07-25 12:00:00,25.5,,3.68,0.0
2017-07-26 12:00:00,35.0,,7.06,0.0
2017-07-27 12:00:00,22.0,,4.44,0.0
2017-07-28 12:00:00,24.5,,3.24,0.0
2017-07-29 12:00:00,22.5,,4.01,0.0
2017-07-30 12:00:00,7.5,,4.28,0.0
2017-07-31 12:00:00,23.5,,8.15,0.0
2017-08-01 12:00:00,19.5,,6.85,0.0
2017-08-02 12:00:00,35.5,,7.54,0.0
2017-08-03 12:00:00,26.0,,7.08,0.0
2017-08-04 12:00:00,45.5,,7.92,0.0
2017-08-05 12:00:00,53.0,,11.79,0.0
2017-08-06 12:00:00,56.0,,6.32,0.0
2017-08-07 12:00:00,101.0,,5.86,0.0
2017-08-08 12:00:00,51.0,,7.24,0.0
2017-08-09 12:00:00,61.0,,8.04,0.0
2017-08-10 12:00:00,29.0,,12.58,0.0
2017-08-11 12:00:00,20.0,,6.18,0.0
2017-08-12 12:00:00,,,0.0,0.0
2017-08-13 12:00:00,,,0.0,0.0
2017-08-14 12:00:00,30.5,,10.64,0.0
2017-08-15 12:00:00,32.5,,7.05,0.0
2017-08-16 12:00:00,35.0,,6.25,0.0
2017-08-17 12:00:00,25.5,,7.26,0.0
2017-08-18 12:00:00,35.5,,10.49,0.0
2017-08-19 12:00:00,17.5,,10.6,0.0
2017-08-20 12:00:00,27.0,,10.04,0.0
2017-08-21 12:00:00,,,0.0,0.0
2017-08-22 12:00:00,,,0.0,0.0
2017-08-23 12:00:00,52.0,,11.18,0.0
2017-08-24 12:00:00,,,0.0,0.0
2017-08-25 12:00:00,53.0,,6.45,0.0
2017-08-26 12:00:00,77.0,,7.28,0.0
2017-08-27 12:00:00,,,0.0,0.0
2017-08-28 12:00:00,,,0.0,0.0
2017-08-29 12:00:00,13.0,,6.09,0.0
2017-08-30 12:00:00,,,0.0,0.0
2017-08-31 12:00:00,58.55,83.86,29.19,0.79
2017-09-01 12:00:00,37.01,65.94,7.51,0.35
2017-09-02 12:00:00,59.14,107.06,9.01,0.44
2017-09-03 12:00:00,105.7,127.63,7.51,0.35
2017-09-04 12:00:00,112.61,151.88,7.51,0.35
2017-09-05 12:00:00,118.75,154.8,7.51,0.35
2017-09-06 12:00:00,76.22,179.36,14.35,0.35
2017-09-07 12:00:00,44.4,81.98,22.42,0.45
2017-09-08 12:00:00,72.58,117.92,7.88,0.49
2017-09-09 12:00:00,69.15,134.2,9.45,0.41
2017-09-10 12:00:00,94.65,147.78,9.69,0.46
2017-09-11 12:00:00,95.66,171.35,8.39,0.44
2017-09-12 12:00:00,103.55,165.62,10.41,0.46
2017-09-13 12:00:00,51.77,140.33,5.29,0.18
2017-09-14 12:00:00,83.78,252.94,5.5,0.23
2017-09-15 12:00:00,97.27,159.1,9.33,0.44
2017-09-16 12:00:00,88.12,84.71,12.64,0.29
2017-09-17 12:00:00,80.49,76.72,11.49,0.4
2017-09-18 12:00:00,72.55,139.51,12.06,0.28
2017-09-19 12:00:00,103.29,137.4,16.84,0.45
2017-09-20 12:00:00,99.42,132.74,15.05,0.38
2017-09-21 12:00:00,44.38,39.56,14.05,0.49
2017-09-22 12:00:00,,10.0,12.47,0.29
2017-09-23 12:00:00,19.78,23.28,14.85,0.34
2017-09-24 12:00:00,42.42,67.87,11.19,0.4
2017-09-25 12:00:00,90.68,125.36,8.74,0.33
